Input Type,Layer ID,Sink Attention (%)
short_dummy,0,79.46428571428571
short_dummy,4,85.71428571428571
short_dummy,8,80.80357142857143
short_dummy,12,68.30357142857143
short_dummy,16,75.89285714285714
short_dummy,20,85.71428571428571
short_dummy,24,89.73214285714286
short_dummy,31,69.19642857142857
short_meaningful,0,62.980769230769226
short_meaningful,4,86.0576923076923
short_meaningful,8,78.36538461538461
short_meaningful,12,65.86538461538461
short_meaningful,16,76.92307692307693
short_meaningful,20,87.5
short_meaningful,24,91.82692307692307
short_meaningful,31,72.59615384615384
medium_dummy,0,72.91666666666666
medium_dummy,4,82.91666666666667
medium_dummy,8,77.08333333333334
medium_dummy,12,62.916666666666664
medium_dummy,16,72.08333333333333
medium_dummy,20,80.83333333333333
medium_dummy,24,88.33333333333333
medium_dummy,31,65.83333333333333
medium_meaningful,0,55.172413793103445
medium_meaningful,4,84.05172413793103
medium_meaningful,8,71.98275862068965
medium_meaningful,12,59.48275862068966
medium_meaningful,16,68.96551724137932
medium_meaningful,20,85.34482758620689
medium_meaningful,24,89.65517241379311
medium_meaningful,31,69.39655172413794
long_dummy,0,66.12903225806451
long_dummy,4,81.45161290322581
long_dummy,8,74.19354838709677
long_dummy,12,58.46774193548387
long_dummy,16,68.54838709677419
long_dummy,20,77.82258064516128
long_dummy,24,87.09677419354838
long_dummy,31,63.306451612903224
long_meaningful,0,45.90163934426229
long_meaningful,4,81.55737704918032
long_meaningful,8,64.34426229508196
long_meaningful,12,54.09836065573771
long_meaningful,16,65.57377049180327
long_meaningful,20,82.37704918032787
long_meaningful,24,88.9344262295082
long_meaningful,31,65.98360655737704
